entry_zscore,lookback,max_holding_days,max_positions_per_side,min_history,min_holding_days,n_components,vol_target,zscore_window,total_return,cagr,vol,sharpe,sortino,calmar,max_dd,beta_mean_abs,avg_positions,avg_gross,total_costs,elapsed_s,combo_key
1.0,126,90,30,252,42,3,0.2,60,0.1983576058903902,0.007279411941851777,0.09459474976936044,-0.10866896662784874,-0.09041864096248213,0.02501714470180715,-0.2909769291667381,0.101966213226506,59.809129950691904,2.2946196671255876,407119.24553314666,105.82764172554016,"{""entry_zscore"": 1.0, ""lookback"": 126, ""max_holding_days"": 90, ""max_positions_per_side"": 30, ""min_history"": 252, ""min_holding_days"": 42, ""n_components"": 3, ""vol_target"": 0.2, ""zscore_window"": 60}"
1.0,126,90,50,252,63,3,0.2,60,0.11712373869356174,0.0044493214088952016,0.0833724630974591,-0.15724141703104416,-0.172929041372635,0.016631607341243866,-0.2675220330545899,0.08568793941944745,99.68188325115317,2.571330215490708,404226.79436521215,108.63299059867859,"{""entry_zscore"": 1.0, ""lookback"": 126, ""max_holding_days"": 90, ""max_positions_per_side"": 50, ""min_history"": 252, ""min_holding_days"": 63, ""n_components"": 3, ""vol_target"": 0.2, ""zscore_window"": 60}"
1.0,126,120,30,126,21,5,0.2,40,0.19745616144044176,0.007249029937810736,0.09385232109641621,-0.1098523253282764,-0.09673464993971458,0.02354292552338113,-0.3079069307088248,0.09627396586455586,59.809129950691904,2.3021112479313635,466703.60785489675,104.44654154777527,"{""entry_zscore"": 1.0, ""lookback"": 126, ""max_holding_days"": 120, ""max_positions_per_side"": 30, ""min_history"": 126, ""min_holding_days"": 21, ""n_components"": 5, ""vol_target"": 0.2, ""zscore_window"": 40}"
1.0,126,120,30,126,42,3,0.08,40,0.22619183309149227,0.008206890983874171,0.058809663145568146,-0.1590220750063708,-0.1955323098245179,0.036142744369459835,-0.22706883849165838,0.057500453516976455,59.809129950691904,1.453499507976213,230181.9062408057,106.64292669296265,"{""entry_zscore"": 1.0, ""lookback"": 126, ""max_holding_days"": 120, ""max_positions_per_side"": 30, ""min_history"": 126, ""min_holding_days"": 42, ""n_components"": 3, ""vol_target"": 0.08, ""zscore_window"": 40}"
1.0,126,120,30,126,42,3,0.1,90,0.24775652861530006,0.008911668739162826,0.06839212059458687,-0.12643644959927886,-0.13980850163206707,0.030656085911477234,-0.29069819170314937,0.0782978634841875,59.809129950691904,1.5860152624418071,249145.20839537735,108.02160310745239,"{""entry_zscore"": 1.0, ""lookback"": 126, ""max_holding_days"": 120, ""max_positions_per_side"": 30, ""min_history"": 126, ""min_holding_days"": 42, ""n_components"": 3, ""vol_target"": 0.1, ""zscore_window"": 90}"
1.0,126,120,30,252,63,8,0.15,60,0.008915380822752672,0.0003558323582408818,0.08084180762082621,-0.212799463492395,-0.2491265148919203,0.0012158719835836111,-0.2926561044626722,0.07995461864544522,59.809129950691904,2.013318451265889,258324.50956307523,106.61949062347412,"{""entry_zscore"": 1.0, ""lookback"": 126, ""max_holding_days"": 120, ""max_positions_per_side"": 30, ""min_history"": 252, ""min_holding_days"": 63, ""n_components"": 8, ""vol_target"": 0.15, ""zscore_window"": 60}"
1.0,126,120,50,126,42,10,0.1,90,0.38244458980997087,0.013065538881530836,0.058958775283344964,-0.0762123491300979,-0.07709259489786331,0.04922291526929353,-0.26543610450641963,0.06453765473493576,99.68188325115317,1.827822988869496,340850.37773611065,109.2251570224762,"{""entry_zscore"": 1.0, ""lookback"": 126, ""max_holding_days"": 120, ""max_positions_per_side"": 50, ""min_history"": 126, ""min_holding_days"": 42, ""n_components"": 10, ""vol_target"": 0.1, ""zscore_window"": 90}"
1.0,126,120,50,252,21,5,0.1,40,0.20067278894036433,0.00735734174003877,0.06133545768878105,-0.16632441155705804,-0.20371672325989323,0.03526352585458884,-0.2086388573388035,0.06220889369701921,99.68188325115317,1.803951422684696,371535.1882659844,110.18139982223511,"{""entry_zscore"": 1.0, ""lookback"": 126, ""max_holding_days"": 120, ""max_positions_per_side"": 50, ""min_history"": 252, ""min_holding_days"": 21, ""n_components"": 5, ""vol_target"": 0.1, ""zscore_window"": 40}"
1.0,126,120,50,252,63,10,0.15,90,0.09411433476948439,0.003611754494898367,0.07178642536326744,-0.1942870268610199,-0.24279436077742425,0.011235226273385558,-0.3214670009320624,0.08188423360168469,99.68188325115317,2.2658664668812705,353402.27261725435,110.25125026702881,"{""entry_zscore"": 1.0, ""lookback"": 126, ""max_holding_days"": 120, ""max_positions_per_side"": 50, ""min_history"": 252, ""min_holding_days"": 63, ""n_components"": 10, ""vol_target"": 0.15, ""zscore_window"": 90}"
1.0,126,180,30,126,42,3,0.08,40,0.13083806085868233,0.004940695349681112,0.05916457410587535,-0.21327340708050396,-0.2773923148887968,0.023712006937735838,-0.2083625971709031,0.05680966580550772,59.809129950691904,1.4533540016686735,220716.0210483268,104.99425649642944,"{""entry_zscore"": 1.0, ""lookback"": 126, ""max_holding_days"": 180, ""max_positions_per_side"": 30, ""min_history"": 126, ""min_holding_days"": 42, ""n_components"": 3, ""vol_target"": 0.08, ""zscore_window"": 40}"
