beta_lookback,n_buckets,tc_bps,vol_window,long_short_style,total_return,cagr,vol,sharpe,sortino,calmar,max_dd,beta_mean_abs,avg_positions,avg_gross,total_costs,elapsed_s,long_buckets,short_buckets,combo_key
126,3,5,40,extreme_only,0.2827329438552401,0.0100302802612652,0.0447997063857957,-0.1680512216220653,-0.2207397710243034,0.0525343574381395,-0.1909280088383338,0.0540856501762873,308.3225703833307,0.9968188325115316,30064.999806962955,66.59816884994507,[1],[3],"{""beta_lookback"": 126, ""long_short_style"": ""extreme_only"", ""n_buckets"": 3, ""tc_bps"": 5, ""vol_window"": 40}"
126,3,5,40,extreme_plus_one,0.3022170563014139,0.0106407855001979,0.0341721046732415,-0.2024499284917435,-0.2865338993243438,0.0811202839159008,-0.1311729321759956,0.0406760192146423,461.9611897566407,0.9968188325115316,23140.237937798684,90.45333313941956,"[1, 2]","[2, 3]","{""beta_lookback"": 126, ""long_short_style"": ""extreme_plus_one"", ""n_buckets"": 3, ""tc_bps"": 5, ""vol_window"": 40}"
126,3,5,60,extreme_only,0.2827329438552401,0.0100302802612652,0.0447997063857957,-0.1680512216220653,-0.2207397710243034,0.0525343574381395,-0.1909280088383338,0.0540856501762873,308.3225703833307,0.9968188325115316,30064.999806962955,65.3419451713562,[1],[3],"{""beta_lookback"": 126, ""long_short_style"": ""extreme_only"", ""n_buckets"": 3, ""tc_bps"": 5, ""vol_window"": 60}"
126,3,5,60,extreme_plus_one,0.3022170563014139,0.0106407855001979,0.0341721046732415,-0.2024499284917435,-0.2865338993243438,0.0811202839159008,-0.1311729321759956,0.0406760192146423,461.9611897566407,0.9968188325115316,23140.237937798684,98.37584710121156,"[1, 2]","[2, 3]","{""beta_lookback"": 126, ""long_short_style"": ""extreme_plus_one"", ""n_buckets"": 3, ""tc_bps"": 5, ""vol_window"": 60}"
126,3,5,90,extreme_only,0.2827329438552401,0.0100302802612652,0.0447997063857957,-0.1680512216220653,-0.2207397710243034,0.0525343574381395,-0.1909280088383338,0.0540856501762873,308.3225703833307,0.9968188325115316,30064.999806962955,78.63349676132202,[1],[3],"{""beta_lookback"": 126, ""long_short_style"": ""extreme_only"", ""n_buckets"": 3, ""tc_bps"": 5, ""vol_window"": 90}"
126,3,5,90,extreme_plus_one,0.3022170563014139,0.0106407855001979,0.0341721046732415,-0.2024499284917435,-0.2865338993243438,0.0811202839159008,-0.1311729321759956,0.0406760192146423,461.9611897566407,0.9968188325115316,23140.237937798684,103.0461049079895,"[1, 2]","[2, 3]","{""beta_lookback"": 126, ""long_short_style"": ""extreme_plus_one"", ""n_buckets"": 3, ""tc_bps"": 5, ""vol_window"": 90}"
126,3,5,126,extreme_only,0.2827329438552401,0.0100302802612652,0.0447997063857957,-0.1680512216220653,-0.2207397710243034,0.0525343574381395,-0.1909280088383338,0.0540856501762873,308.3225703833307,0.9968188325115316,30064.999806962955,69.02455997467041,[1],[3],"{""beta_lookback"": 126, ""long_short_style"": ""extreme_only"", ""n_buckets"": 3, ""tc_bps"": 5, ""vol_window"": 126}"
126,3,5,126,extreme_plus_one,0.3022170563014139,0.0106407855001979,0.0341721046732415,-0.2024499284917435,-0.2865338993243438,0.0811202839159008,-0.1311729321759956,0.0406760192146423,461.9611897566407,0.9968188325115316,23140.237937798684,96.0754096508026,"[1, 2]","[2, 3]","{""beta_lookback"": 126, ""long_short_style"": ""extreme_plus_one"", ""n_buckets"": 3, ""tc_bps"": 5, ""vol_window"": 126}"
126,3,10,40,extreme_only,0.2525362993304851,0.0090662974793542,0.0448165325339063,-0.1894976627638172,-0.2527240587976926,0.046158334327594,-0.1964173450239585,0.0540809114818825,308.3225703833307,0.9968188325115316,59403.85552202206,69.26091289520264,[1],[3],"{""beta_lookback"": 126, ""long_short_style"": ""extreme_only"", ""n_buckets"": 3, ""tc_bps"": 10, ""vol_window"": 40}"
126,3,10,40,extreme_plus_one,0.2779331807398169,0.0098785206527653,0.0341854489810507,-0.2246688349537262,-0.3202273255040003,0.0740844851242841,-0.1333412878039604,0.0406865143247419,461.9611897566407,0.9968188325115316,45834.76598434064,93.71552538871764,"[1, 2]","[2, 3]","{""beta_lookback"": 126, ""long_short_style"": ""extreme_plus_one"", ""n_buckets"": 3, ""tc_bps"": 10, ""vol_window"": 40}"
